tract_fips10,tract_name,tract_name_full,zipcode
"09009345300","3453",Census Tract 3453,"06770"
"09009170800","1708",Census Tract 1708,"06451"
"09009141200","1412",Census Tract 1412,"06515"
"09005360400","3604",Census Tract 3604,"06779"
"09001043800","438",Census Tract 438,"06854"
"09001061100","611",Census Tract 611,"06825"
"09009170600","1706",Census Tract 1706,"06451"
"09009170700","1707",Census Tract 1707,"06451"
"09009171000","1710",Census Tract 1710,"06450"
"09003514200","5142",Census Tract 5142,"06042"
"09001061300","613",Census Tract 613,"06825"
"09009171200","1712",Census Tract 1712,"06450"
"09009165600","1656",Census Tract 1656,"06514"
"09009165700","1657",Census Tract 1657,"06514"
"09009165801","1658.01",Census Tract 1658.01,"06514"
"09009165802","1658.02",Census Tract 1658.02,"06514"
"09009165500","1655",Census Tract 1655,"06514"
"09001043000","430",Census Tract 430,"06850"
"09009165900","1659",Census Tract 1659,"06518"
"09001030400","304",Census Tract 304,"06820"
"09009150800","1508",Census Tract 1508,"06461"
"09009165300","1653",Census Tract 1653,"06517"
"09009165400","1654",Census Tract 1654,"06517"
"09005268100","2681",Census Tract 2681,"06783"
"09005290100","2901",Census Tract 2901,"06063"
"09005293100","2931",Census Tract 2931,"06098"
"09005303100","3031",Census Tract 3031,"06763"
"09001061400","614",Census Tract 614,"06825"
"09005310100","3101",Census Tract 3101,"06790"
"09005310200","3102",Census Tract 3102,"06790"
"09005310400","3104",Census Tract 3104,"06790"
"09005310500","3105",Census Tract 3105,"06790"
"09001072100","721",Census Tract 721,"06604"
"09005253600","2536",Census Tract 2536,"06776"
"09009141400","1414",Census Tract 1414,"06511"
"09003487300","4873",Census Tract 4873,"06074"
"09007600100","6001",Census Tract 6001,"06412"
"09007610200","6102",Census Tract 6102,"06413"
"09007550100","5501",Census Tract 5501,"06424"
"09009125100","1251",Census Tract 1251,"06401"
"09003415500","4155",Census Tract 4155,"06051"
"09003415600","4156",Census Tract 4156,"06051"
"09003415700","4157",Census Tract 4157,"06052"
"09003415800","4158",Census Tract 4158,"06052"
"09003415900","4159",Census Tract 4159,"06053"
"09003416000","4160",Census Tract 4160,"06053"
"09003416100","4161",Census Tract 4161,"06051"
"09003494400","4944",Census Tract 4944,"06111"
"09003494500","4945",Census Tract 4945,"06111"
"09003502400","5024",Census Tract 5024,"06114"
"09003416200","4162",Census Tract 4162,"06051"
"09003416300","4163",Census Tract 4163,"06051"
"09003416400","4164",Census Tract 4164,"06052"
"09003416600","4166",Census Tract 4166,"06053"
"09003416700","4167",Census Tract 4167,"06053"
"09003416800","4168",Census Tract 4168,"06053"
"09003417100","4171",Census Tract 4171,"06051"
"09003417200","4172",Census Tract 4172,"06053"
"09003417300","4173",Census Tract 4173,"06053"
"09003417400","4174",Census Tract 4174,"06053"
"09003417500","4175",Census Tract 4175,"06053"
"09003504800","5048",Census Tract 5048,"06106"
"09003420500","4205",Census Tract 4205,"06062"
"09003430201","4302.01",Census Tract 4302.01,"06489"
"09003430302","4303.02",Census Tract 4303.02,"06479"
"09003430602","4306.02",Census Tract 4306.02,"06489"
"09003497700","4977",Census Tract 4977,"06117"
"09003500200","5002",Census Tract 5002,"06114"
"09003500300","5003",Census Tract 5003,"06106"
"09007630100","6301",Census Tract 6301,"06409"
"09007585100","5851",Census Tract 5851,"06422"
"09007610400","6104",Census Tract 6104,"06413"
"09009125300","1253",Census Tract 1253,"06401"
"09009125400","1254",Census Tract 1254,"06401"
"09003460301","4603.01",Census Tract 4603.01,"06085"
"09003462202","4622.02",Census Tract 4622.02,"06001"
"09003466201","4662.01",Census Tract 4662.01,"06070"
"09003466400","4664",Census Tract 4664,"06070"
"09003490302","4903.02",Census Tract 4903.02,"06067"
"09003492100","4921",Census Tract 4921,"06109"
"09009140100","1401",Census Tract 1401,"06510"
"09009140200","1402",Census Tract 1402,"06519"
"09009140300","1403",Census Tract 1403,"06519"
"09009140400","1404",Census Tract 1404,"06519"
"09009140500","1405",Census Tract 1405,"06519"
"09009140600","1406",Census Tract 1406,"06519"
"09009140700","1407",Census Tract 1407,"06511"
"09003492600","4926",Census Tract 4926,"06109"
"09003471200","4712",Census Tract 4712,"06002"
"09003511300","5113",Census Tract 5113,"06108"
"09003480800","4808",Census Tract 4808,"06082"
"09003520400","5204",Census Tract 5204,"06033"
"09003515101","5151.01",Census Tract 5151.01,"06040"
"09003490100","4901",Census Tract 4901,"06067"
"09001090100","901",Census Tract 901,"06611"
"09001055200","552",Census Tract 552,"06883"
"09001045400","454",Census Tract 454,"06897"
"09001035400","354",Census Tract 354,"06840"
"09001042800","428",Census Tract 428,"06851"
"09001245600","2456",Census Tract 2456,"06877"
"09001020400","204",Census Tract 204,"06903"
"09001090600","906",Census Tract 906,"06611"
"09001011300","113",Census Tract 113,"06830"
"09001230300","2303",Census Tract 2303,"06470"
"09001021000","210",Census Tract 210,"06906"
"09001030500","305",Census Tract 305,"06820"
"09001210100","2101",Census Tract 2101,"06810"
"09001073900","739",Census Tract 739,"06608"
"09001081300","813",Census Tract 813,"06614"
"09001010800","108",Census Tract 108,"06807"
"09001020100","201",Census Tract 201,"06902"
"09001020500","205",Census Tract 205,"06902"
"09001020800","208",Census Tract 208,"06905"
"09001043300","433",Census Tract 433,"06850"
"09001080400","804",Census Tract 804,"06615"
"09001110302","1103.02",Census Tract 1103.02,"06484"
"09001030200","302",Census Tract 302,"06820"
"09001045102","451.02",Census Tract 451.02,"06897"
"09001010900","109",Census Tract 109,"06878"
"09001011000","110",Census Tract 110,"06870"
"09001100100","1001",Census Tract 1001,"06468"
"09001110600","1106",Census Tract 1106,"06484"
"09001205200","2052",Census Tract 2052,"06804"
"09001230100","2301",Census Tract 2301,"06470"
"09001257100","2571",Census Tract 2571,"06784"
"09001211200","2112",Census Tract 2112,"06811"
"09001210800","2108",Census Tract 2108,"06811"
"09001210600","2106",Census Tract 2106,"06810"
"09001210500","2105",Census Tract 2105,"06810"
"09001110500","1105",Census Tract 1105,"06484"
"09001110400","1104",Census Tract 1104,"06484"
"09001043100","431",Census Tract 431,"06850"
"09001245200","2452",Census Tract 2452,"06877"
"09001110202","1102.02",Census Tract 1102.02,"06484"
"09001045200","452",Census Tract 452,"06897"
"09001035200","352",Census Tract 352,"06840"
"09001060100","601",Census Tract 601,"06825"
"09001020900","209",Census Tract 209,"06907"
"09001200200","2002",Census Tract 2002,"06801"
"09001055100","551",Census Tract 551,"06883"
"09001200301","2003.01",Census Tract 2003.01,"06801"
"09001073100","731",Census Tract 731,"06610"
"09001211000","2110",Census Tract 2110,"06811"
"09001210200","2102",Census Tract 2102,"06810"
"09001105200","1052",Census Tract 1052,"06612"
"09001060300","603",Census Tract 603,"06824"
"09001090500","905",Census Tract 905,"06611"
"09001110201","1102.01",Census Tract 1102.01,"06484"
"09001030100","301",Census Tract 301,"06820"
"09001090200","902",Census Tract 902,"06611"
"09001010300","103",Census Tract 103,"06831"
"09001050200","502",Census Tract 502,"06880"
"09001081100","811",Census Tract 811,"06614"
"09001042700","427",Census Tract 427,"06851"
"09001020300","203",Census Tract 203,"06903"
"09001240100","2401",Census Tract 2401,"06896"
"09001043200","432",Census Tract 432,"06854"
"09001090400","904",Census Tract 904,"06611"
"09001081200","812",Census Tract 812,"06614"
"09001021200","212",Census Tract 212,"06905"
"09001230200","2302",Census Tract 2302,"06470"
"09001010201","102.01",Census Tract 102.01,"06830"
"09001010202","102.02",Census Tract 102.02,"06807"
"09001200100","2001",Census Tract 2001,"06801"
"09001245100","2451",Census Tract 2451,"06877"
"09001245500","2455",Census Tract 2455,"06877"
"09001011100","111",Census Tract 111,"06878"
"09001010500","105",Census Tract 105,"06830"
"09009142200","1422",Census Tract 1422,"06511"
"09009142300","1423",Census Tract 1423,"06513"
"09009142400","1424",Census Tract 1424,"06513"
"09009142500","1425",Census Tract 1425,"06513"
"09009142601","1426.01",Census Tract 1426.01,"06513"
"09009142700","1427",Census Tract 1427,"06512"
"09011714104","7141.04",Census Tract 7141.04,"06415"
"09011870704","8707.04",Census Tract 8707.04,"06357"
"09011870701","8707.01",Census Tract 8707.01,"06357"
"09011705102","7051.02",Census Tract 7051.02,"06379"
"09011705101","7051.01",Census Tract 7051.01,"06379"
"09011870300","8703",Census Tract 8703,"06320"
"09013529100","5291",Census Tract 5291,"06043"
"09013530100","5301",Census Tract 5301,"06066"
"09003524100","5241",Census Tract 5241,"06447"
"09013530301","5303.01",Census Tract 5303.01,"06066"
"09013530302","5303.02",Census Tract 5303.02,"06066"
"09013530400","5304",Census Tract 5304,"06066"
"09003515000","5150",Census Tract 5150,"06040"
"09003515200","5152",Census Tract 5152,"06040"
"09003500500","5005",Census Tract 5005,"06106"
"09003520201","5202.01",Census Tract 5202.01,"06033"
"09009154100","1541",Census Tract 1541,"06516"
"09009154200","1542",Census Tract 1542,"06516"
"09009154500","1545",Census Tract 1545,"06516"
"09009154600","1546",Census Tract 1546,"06516"
"09009154800","1548",Census Tract 1548,"06516"
"09009154900","1549",Census Tract 1549,"06516"
"09009155100","1551",Census Tract 1551,"06516"
"09009150700","1507",Census Tract 1507,"06461"
"09009157300","1573",Census Tract 1573,"06477"
"09009161100","1611",Census Tract 1611,"06524"
"09009165100","1651",Census Tract 1651,"06517"
"09009157200","1572",Census Tract 1572,"06477"
"09001010700","107",Census Tract 107,"06830"
